,reviews,date
61,"✅ Trip Verified |  Checked in online the evening before the flight. Aircraft depicted was a 737-800. I selected and paid for an exit row seat. A couple of hours later, I received a text message saying that the flight was going to be delayed from 0745 to 1120 for the usual ‘operational reasons’. On arrival at the airport the next morning for the delayed departure, I was issued with a boarding pass that still showed my original seat number of 19A. As it turned out, the airline had changed the aircraft to an Embraer 190 (which I discovered when we were boarding), so while I had the same seat number from the original 737, it was not in an exit row on the E190. No apology, no information at check in. Boarding was chaotic as usual. They called for Business Class and Priority passengers to board first (I have Siver Elite status), only for everybody to end up on a bus that waited until it was full before proceeding to the airplane. So much for priority boarding. Even with the delayed departure time, the flight was delayed even further, departing at 1220. KQ is a disgrace. Unfortunately, they are currently the only airline serving the Nairobi-Johannesburg route and are milking this for all it’s worth with shoddy service. Pride of Africa? Not by a long shot!",14th June 2022
62,"✅ Trip Verified | Monrovia to Kigali through Accra and Nairobi 19-20 May 2022. The 2 aircrafts were both B737-800s in very good condition. I had to change my departure dates and it took me only 10 minutes online - and was even free as it was a “Business Light” ticket. All flights were on time. Checked in online. Monrovia Airport is full of hustlers pretending to be from the airline but want tips and they are annoying, the airline should chase them away. Kenya Airways (KQ) uses a third party lounge in Monrovia which is small but good with courteous, proactive attendants. No champagne, but plenty of drinks and liquor. The local Club beer is good. Embarking easy, fast, not a single crosscheck from lounge to seat – what a pleasure. Onboard, welcome drinks were served. The seats were huge and well bolstered, reclining, new, and very comfortable. Could sleep. IFE or WiFi was only working on the last leg. No printed menus were given out, but the FAs asked each individual on food choices. My pre-ordered special sea food meals were all different, delicious, and served without reminders. Business Class was full after Accra, but I did neither feel cramped nor stuffy. FAs, all Kenyans, were good and caring – though maybe not world class. In NBO the Pride lounge did the job for me during the 12 hours’ layover. The last stretch to Kigali was with IFE onboard, champagne, and my beloved seafood hot meal, which KQ still offers (even in economy) in contrast to Qatar and Emirates who have stopped this service at is it not qualifying as “dietary reasons” to order. Luggage delivered quickly and in good order. Good value for money – will fly with them again.",20th May 2022
63,"✅ Trip Verified |  It was a bad experience. I had a flight from Entebbe to Nairobi and from Nairobi to Amsterdam. I missed the first one and went straight to Nairobi. Seemed that they canceled the whole flight. I had to go to sales and they, without explaining any detail, told me I had to pay 475 dollars for a new flight! As I had no time at all I had to make a quick decision but after I tried to ask for answers but I did not get any good explanation beside that I had to pay the difference. Bad customer service and lousy way to dealing with people!",20th May 2022
64,"✅ Trip Verified |  Flew Kigali to Monrovia over Nairobi and Accra on 8-9 May 2022. Flights on time. Checked in online worked well and got my BPs in airport swiftly. No luggage issues. Recognised as Skyteam elite. Kenya Airways staff came to me in lounge and, without request, carried my hand-luggage for me from lounge to the aircraft. No waiting time nor queues anywhere on the trip despite the flights were full or almost full. KQ delivers and have rarely let me down over the years. Pearl Lounge in Kigali delivers but suffers from deprived views of airport runways. First flight was on an Embraer 190 which is a lovely, roomy aircraft. Onboard, they allowed me to shift to an exit row as my original seat was mistakenly occupied by another person. The seat now offered was very nice - it would have cost me 50 USD if booked online. Drinks were generously provided. Appreciate Kenya Airways often have the Happy Hour concept where a request for a single drink most often triggers serving two. The wine in mini-bottles was acceptable, a South African “Stonedale”. I had requested seafood meal and I got it: it was a cold, tasty salmon sandwich. FAs were kind and effective. No IFE nor WiFi but on a 90 minutes flight its not an issue. Transit in Nairobi Airport smooth and quick. It took me only 15 Minutes to reach the KQ Pride Lounge. I love this lounge, roomy and curvy designs with lots of nice sections. Had a god nights’ sleep after acquainting myself with a Niederburg rose-wine which superseded an alternative, Italian sparkling wine The next flights from Nairobi to Monrovia via Accra were on their B737-800. Despite the flight was completely full (all seats taken in both classes!) the staff manage to care passengers well. No power outlet nor monitors, only WiFi and use of personal devices were possible. Special meal rendered to perfection. I also tried other dishes as I was offered. Drinks provided generously, again Happy Hour (order 1 get 2) occurred at least once. Slight delay as the stop-over in Accra took longer time as a lot of passengers disembarked before cleaning and loads of new passengers came on board – again the flight was full. Luggage in Monrovia came out quickly. Nicely done, Kenya Airways. Can recommend.",10th May 2022
65,"Not Verified | Addis Ababa to Mumbai via Nairobi. Both the mentioned flights delayed in their boarding, moving and landing. The second journey took 8 hours instead of 6.5 hours. Overall very poor time management. We can't rely on this airline and book domestic flights. The worst is I booked my return ticket also with this airline. it was on 27th April 2.25 am from Mumbai. Based on this I had booked a domestic flight from Chennai to Mumbai 6pm 26th April 2022. I had taken the RTPCR test for flying. 6pm web check-in was supposed to be done for Kenya Airways. 4pm i received a message that the flight is rescheduled. The rescheduling was done inappropriately. The flight KQ-203,2.25am , 27th April was rescheduled to 27th April 7.25 am the connecting flight KQ-400, 27th April 8,30am was rescheduled to 29th April 5pm. What do I do in Nairobi for 2.5 days. I had booked through goibibo. I could not connect with any human being in gooibibo to arrange for alternate ways. So I had to cancel my domestic flight to Mumbai. I cancelled all the Kenya bookings and flew through flydubai with new cost. Still, now the refund has not been given by Kenya Airways or goibibo. I lost 4000 inr out of 5100 inr for the domestic flight due to last-minute cancellation. The RTPCR test taken went to waste.",2nd May 2022
66,"✅ Trip Verified | The female air hostesses were so rude and cold to me. I sat by the window seat and the two other passengers on the row were fast asleep so I rang the bell multiple times, no response. I made verbal requests twice as they walked past and even though they gave a cold response saying they would get me a cup of water - nothing! Kenya Airways, you are not the Pride of Africa and I am extremely unimpressed with your work ethics.",29th April 2022
67,"Not Verified |  Terrible experience with luggage. Had an amount allocated on my ticket, staff would not allow it, said it was over. Very rude and unhelpful staff when checking in my luggage. Told to re pack my case. Not terribly friendly cabin staff. Half full plane on my journey, would not allow passengers to use empty seats. Ridiculous and a first on a flight for me. I have previously been able to use unoccupied seats. Massive amount of single use plastic on this flight, shocking. Really nice food. Hopefully never have to fly with ‘The pride of Africa’ again!",24th April 2022
68,"✅ Trip Verified | Terrible company in terms of customer services. KQ lots my luggage for the second time in a year - this time, bags were not loaded in Lilongwe - and the whole process to get them was just so bad and KQ staff not helpful at all. At the airport, no customer care at all, it took ages (more than two hours) to enter everyone's declaration in the system, then KQ said we would get our bags within 24 hours, which did not happen - it took more than 48 hours to get them. We are supposed to be able to get a refund when the time exceeds 24 hours and guess what? To do so you have to go to the airport, it is not possible to get that online - in Nairobi the airport is 1h away from the city center. Just a way for people to not get it! Sorry KQ, you are not ""the pride of Africa"" at all!",21st March 2022
69,"Not Verified |  Phoned to change my flight and was told that it has been done. Two days later and having not received an email confirmation, I phoned back and they said that the agent I spoke to did not book and I would need to pay £89 dollars as the rates have gone up, pushed to fly on a different date and still there would be a 60 dollar penalty attached. Had the agent booked me in the first time I phoned, I would not be incurring these costs. It took me two days of spending at least 4 hours on the phone to their international number where they are cautious not to phone you back as it will cost them and will happily put you on hold for as long as they want. First day I spoke to an agent who said that they would book me into the flight but refer me to the manager to take off incurred costs, next referred to the supervisor who swore to sort this out asap, waited till end of the day and phoned back and she was about to leave the office but said she has handed over to the next shift manager, nothing happened. Phoned again the following morning and got hold of an agent who also promised to phone me back within an hour, after three hours of waiting, I phoned her back and she put me on hold to go speak to her manager and came back and said that they have reached a decision that I need to pay. Bear in mind that I have had to move this flight twice due to their incompetence. As much as I am Kenyan and would like to promote a local airline, do not use these guys and It needs to be made public as they are awful and do not care at all. ",15th March 2022
70,"✅ Trip Verified | Kenya Airways reservations staff are very incompetent. I booked a flight to Nairobi with departing time 15.20pm only to be rescheduled to a 4 hours later flight at 19.30 and that without notification. I booked the earlier flight because I was connecting later that evening to a Lufthansa flight to Frankfurt. Due to this reschedule, I almost missed my flight to Frankfurt. It only needed friendly Lufthansa staff to open up the gate for me. Kenya Airways staff simply assume that all passengers flying from Kisumu have Nairobi as their final destination. They don’t even think that some might have connection to other countries. I will never fly them again and never recommend them to anyone. They caused me a lot of stress without compensation.",2nd March 2022
71,✅ Trip Verified |  The most horrible customer experience i have ever had with an airline. I have ended up being charged triple the original price I paid despite the fact that I called the customer contact center day before flight. Issued with last minute information to rebook my flight 1.5 hours before the flight. I don't think I have anything nice to say about my experience. Don't think I can recommend the airline to another. Airport staff very unhelpful and dismissive. And don't think I will ever consider to use the airline ever again.,2nd March 2022
72,"✅ Trip Verified |  It's hard for me to write a review because I am not sure if the airline always cancels flights, or if it is just problematic to leave from Sudan. My flight was suddenly canceled twice. One of the times it was canceled was right before departure, after I already took and paid for my covid test. It was incredibly stressful. I wrote to an assistant on whatsapp, who told me it was a computer error and that my flight will still go and that I should just go to the airport. But I felt it was not this way - I called. Thankfully someone helped me and put me on a flight with Ethiopian airlines and I flew with them via Ethiopia. So in the end i never flew with Kenya Airways. It was an incredibly stressful experience, and dealing with people over the phone was impossible. In the end, the woman I spoke to was the only helpful person - and putting me on a new flight with another airline helped a lot. From what I read, they cancel often. If it wasn't for this woman at the end, I would give them a very low rating.",22nd February 2022
73,"✅ Trip Verified |  Arrived at the JKIA an hour before the flight 3 tickets and had excess weight of 3kgs with an option of 6pcs of luggage but had 5. The lady insisted we pay or repack and stated we had no time. Tried to talk to her even her colleague but she refused saying you should have come earlier, any way we did re pack. She insisted we print the PCR test result and I told her we do it digital due to the current covid situation and also we are residents at our destination and had a system in place for that but still insisted we print and time was not on our side. It took me 20 min to do so and when i was back she told me I was late and the gate was already closed. Some efforts were made and we made it to the flight which was empty. Upon arrival in Dubai no luggage. The tickets I had were for 90kgs x3=270 but for sure i had less than the 270kgs with an excess of 3kgs in one pc and no time almost missed my flight. No leniency or situational exceptions, felt really disappointed and couldn't mind the hassle if there was time.  I am not giving up on KQ. Staff pls try to accommodate based on situations.",22nd February 2022
74,"✅ Trip Verified | We boarded Kenya Airways to Seychelles at 3.45am from Dar es Salaam to catch our flight to the Seychelles at 8.15am. We reached Nairobi to find out that our flight has been delayed to 2pm without any notification. When we argued about the 8 hour plus delay, they offered us a croissant and tea. After spending 8 hours, they further delayed the flight to 4pm without any notification. When argued again they called the manager and the manager didn’t do anything except tell us it’s a technical issue. The truth was that they didn’t have enough passengers so they decided to cancel the flight.",8th December 2021
75,"✅ Trip Verified |  I have paid a flight from Zambia to Mauritius with Kenya Airways (All in one), there was no direct flights and have transit flight, my flights were  02 Dec – Zambia to Harare to Kenya- KQ706 03 Dec – Kenya to Mauritius KQ270 However, on the 3rd December, the Kenya crew did not let me take the 2nd flight from Kenya to Mauritius, as per her, she got a message telling me “people who has been in red list countries within the 14 days cannot travel to Mauritius. How come this Kenya airways crew could let me take the flight from Zambia to Harare to Kenya but did not let me take the flight from Kenya to Mauritius and my final destination of this flight was Mauritius, this is unacceptable. Also, I have paid for this service and the staff at the boarding gate 16 on 3rd December at 11am was not polite and not helping at all and did not talk to me properly.",6th December 2021
76,"✅ Trip Verified | Wonderful service onboard this early morning flight to Lusaka. Really enjoyed spending time in the new Pride Lounge (which is in another league in terms of ambience compared to the Simba Lounge - although I imagine the former could get quite busy), and appreciated the hassle free check-in and immigration process (although the Covid test check outside in the booth is quite strange). The only negative was the chaotic boarding processes, with no Premier World priority and a free for all to get final verification checks completed. Once onboard, treated to fabulous service from the purser who just couldn't do enough - from offering both business class breakfast options due to a quiet Premier World cabin. The warm fresh croissants and coffee were highlights. I bid to upgrade the ticket which cost $210 but it was really worth the splurge to arrive well refreshed for a day at work. Well done KQ.",9th November 2021
77,"✅ Trip Verified | Hugely enjoyed this trip with KQ. Wonderful to see KQ finally reinstate a full meal service on this route - I spoke to the purser who confirmed so many customers were on connecting flights that the company opted to stop the pathetic small ""pie"" - although I'm told on the early morning flight it is still a cold croissant and tiny piece of fruit, however on this leg a very impressive three hot meal options wee offered - I was the last seat on the last row at the back and they still had all 3 options available - and the traditional East African beef pilau was absolutely delicious. Cabin crew wonderfully interactive - and as always - cannot give you enough drinks - two bottles of wine and two lagers each time. One disappointment was the refusal of Lusaka KQ agents to allow me to use my Flying Blue miles to upgrade at the airport despite being assured by KQ HQ that it is was totally possible. I was told I would only get a bar service as they don't cater for additional unknown business class passengers, but my return trip just didn't bear this out. I don't think they wanted the hassle of a little extra work to be honest! Keep it up KQ, your flights are expensive for the flight duration, but customers also opt for convenience and service and you have this hands-down.",9th November 2021
78,"✅ Trip Verified |  I had an issue with my Covid test (did it too early so it would have expired by the time I got to Ghana). The whole situation was such a mess, I was certain that I would not be able to fly. Lydia advised me that there was a quick testing station outside (which obviously required me to pay an arm and a leg because these Covid test fees are a scam. I digress). She waited for me until the last minute to get my results so she could get my bag checked-in. When I was running between the testing station and the check-in counter, she decided that I could leave my bag there (I was literally the only remaining customer, so she was just being kind) and took my number so I could run downstairs to go check on my results and she could call me once it was absolutely necessary for them to close the counter. She did call me, and while I was running a few minutes late, she spoke to her superiors who agreed that the time was negligible and I could therefore run back upstairs with my results while she waited to quickly send my bag through. Lydia was probably the most helpful airport person I'd ever met. While some of her colleagues were annoyed with my situation and essentially had given up on me, she endeavoured to help me well beyond her call of duty. This is the kind of South Africa I know - one filled with ubuntu, while acting within the confines of professional conduct. Lydia didn't break any rules or try to cut be some slack because that would have been unethical and against her professional conduct. She was both kind and professional. We need more Lydia's at the airport!!!",20th September 2021
79,"✅ Trip Verified |  I never thought I would experience the worst customer care from an airline which boast itself as “the Pride of Africa”. Trouble started during COVID-19 test verification at the check in desk. My family of six (2 adults and 4 kids) were supposed to travel to JFK via London on 24/8/21. Three of my kids had negative test results while the rest of us had turned positive earlier in the month but had been cleared by a health official to end the mandatory isolation on 13/8/21. As required by CDC, in order to travel to the US, a passenger needs to have either a negative test result or proof of recovery (positive test certificate and a discharge letter from a health official) if they were COVID positive within the last 90 days. We presented our fully compliant documents to the check in clerk, but instead of taking their time to confirm that indeed those were the documents that were required at our final destination, she automatically rejected them and said we all had to have negative test results, otherwise we would have to go back and wait until we all tested negative! They didn’t have any reference sheet or document to base their decision on, the only reference was to pretend that they had called an office “who deals with this sort of thing” to confirm. Then enter a “supervisor “ who didn’t even take time to understand what the problem was and said without a care in the world right to our faces “oh, we deal with this sort of thing every single day. We send people home “. They never realized the agony we were going through. Never at any point did they produced any document to support their decision, in fact at one point the “supervisor “ disappeared to go retrieve an internal document that supposedly has the latest updates but returned 10 minutes later empty handed. They absolutely had no clue about what they were saying and could not even take a moment to check the requirements for our country of destination and the CDC website. What a total customer care failure and a huge embarrassment to the company! To say we were deeply disappointed is an understatement. It is a fact once one has tested COVID positive, it is not advisable to retest until after at least 90 days because chances are high that they can still test positive even though they are not contagious. This fact doesn’t seem to make sense to KQ check in clerks, or at least the two I was dealing with. The whole experience caused a lot of emotional distress especially to my kids not to mention financial loss and delay to get back to work. ",26th August 2021
80,"✅ Trip Verified |  It's our first time booking an all round trip with Kenya Airways, our journey to Nairobi and Johannesburg was outstanding, we thought that was all until we experienced a hospitality at its very best when we were returning from Johannesburg to Nairobi and Nairobi to Lagos. Kudos to the pilots in KQ766, very professional in dealings with turbulent, as a flight simulator gamer, I could feel the way the plane was calmed. We connected to KQ532 to Lagos at past 8am on the 12th of June, the hospitality gestures given by the air hostesses was superb and second to none. It is very usual for air hostesses to see and treat you as guests but it's unusual to see them treat to as family. We felt welcomed like home away from home. Bevlyne, one of the hostesses in KQ532, very friendly, calm, jovial and quick to response to passengers request. These trips is unforgettable and forever worthwhile. Will love to travel via Kenya Airways again and again, truly it's the pride of Africa.",20th June 2021
81,"✅ Trip Verified | I think the worst airline I have ever travelled. Do not use them unless you have to. Business class is the worst I have flown - uncomfortable seats, poor quality food and the worst entertainment I have seen on an airline. To cap it all they have lost my baggage which is where they unravel even further with customer service that is completely non-existent. They don't answer the phone, don't respond to emails and their online chat means waiting for 30 minutes and then realising that they actually have no one there at any time of day. It's a novel way of taking responsibility for their failings - just don't answer. I cannot understand how Sky Team can associate with this airline. I will not fly with them again and nor will anyone in my business. ",10th April 2021
82,"✅ Trip Verified | Business passengers went on last because the economy passengers would have walked past two business rows. This was, obviously, for covid-19 reasons but given that every passenger had had a negative PCR test it seemed a little pointless. There was a noticeable degree of irritation among those who had been made to wait until last especially as it is branded ‘Sky Priority’. The seats seemed slightly worn and although the dimmable windows are a nice touch in the 787 they are not as effective as pull-down blinds. We were offered soft drinks before take-off but they produced a glass of champagne when I asked. Breakfast was served before the lights went out. For the main meal the choice was beef, chicken or vegetarian. The cabin crew were polite and efficient although with so much protective equipment it felt more like being in an operating theatre rather than a plane. The food seemed bland and uninspiring. There were no major issues with this flight but if Kenya Airways wants to attract premium passengers post-covid it needs to offer a better and more memorable service.",28th March 2021
83,"✅ Trip Verified | This was not my first time flying business with Kenya Airways but it was definitely not the best. The Plaza lounge at LHR was not serving alcohol on the basis that the food was not ‘substantial’. Boarding was chaotic – although there was a business line everyone was using it. After eventually getting on the aircraft, and after a long wait, I was offered a small glass of champagne. Seating was old-style parallel pair, business was about half full and there were signs of ageing. It then took an inordinate amount of time for the meal to be served – choice was “meat or chicken”. It was probably the first time ever that the starter and main course were both rice. The flight was uneventful and although not fully flat-bed I did manage to sleep. No bottle of water was provided. Breakfast was a small dry croissant, yogurt and a small bowl of fruit. I know airlines are struggling but given how much I paid for the ticket to have a service which was not as good as premium economy on some other airlines was frustrating. If Kenya Airways wants to compete with its rivals it needs to stop penny-pinching and offer its business customers a level of service which justifies what they have paid.",21st March 2021
84,✅ Trip Verified |  Entebbe to Johannesburg via Nairobi. The crew was very hospitable and polite. Good time management as well. However the crew responsible for announcements should stop eating the words and try to be more audible.,20th March 2021
85,"✅ Trip Verified | Horrible, they canceled our flight 3 days before it was meant to happen. They told us we could fly only 2 weeks later which was impossible for us. As a result, we had to spend over 1000 USD to get to our destination. When we asked for compensation, they offered us a 150 USD travel voucher even if we told them that we won't be able to travel in the next two years. They refused to convert it to a compensation refund. Really bad service. Never again! We don't recommend this airline at all!",18th March 2021
86,"✅ Trip Verified |  I am more than disappointed with Kenya Airways which not only misplaced my luggage but has till this moment not been able to give me any response despite the numerous attempts I made either in writing to their headquarter or personally visiting their Dubai airport terminal 1 office since August 18th 2020 that I arrived Dubai till date. Given this present circumstance, I doubt if I can recommend this airlines to someone else if nothing is done to prevent such occurrences in future because I'm not an isolated example.",23rd February 2021
87,"Not Verified |  Extremely unsatisfied customers. We have been trying to rebook our flights to Kenya for the last 6 months with only one response which was on Christmas Eve of 2020 and we haven't heard anything from them ever since. We have a booked and paid for trip which we had to rebook due to covid-19 in 2020. Our trip is expected to be this April (2021), and we had supposedly received our cancelled flights in the form of a refunded 'voucher' which was never ever received from the airline. We then received (on Christmas Eve) a link to our supposedly 'new flights' which had a time frame to a payment portal from 15h00-17h30/18h00 roughly... let me reiterate, on Christmas Eve, who is checking their emails to rebook flights in such a short time frame? We then tried to access the portal that night at 19h00 and we could not access it to pay an additional fee (when this was supposed to be fully refunded I might add) for our flights in April. I have sent roughly 50 emails to the airline, and that doesn't include my partners emails to Kenya Airways. We have heard nothing back from them, and they have about R35 000 of our money in promised refunded tickets which we do not have and cannot get hold of anybody from Kenya Airways. This is beyond unprofessional and I have literally tried to contact any/everyone I possibly could from Kenya Airway. ",19th January 2021
88,"✅ Trip Verified |  Flight KQ101 to Johannesburg via Nairobi was meant to depart LHR on 8th February. Flight was at the gate, but boarding time kept getting delayed and delayed and was eventually canceled. Then complete chaos ensued. Kenya Airways do not have a desk at LHR. Tried to call 020 8283 1818 several times on the 8/2 and 9/2 but no answer and then line was disconnected. Was directed to hotel at LHR and then told flight was going to leave, turned out it wasn't so was directed back to hotel. At no point as there any customer service offered to customers. Kenya Airways made no attempt to rebook me on another flight or contact me at all. So had to purchase an alternative flight with SAA at considerable cost as I needed to leave that night. Have not been able to get any compensation at all for cancellation, alternative flight, no apology at all. Is it any wonder that no one wants to travel anymore when Airlines/Tour operators treat customers so appalling, you deserve to all go under.",15th November 2020
89,"Not Verified |  I booked tickets to travel and had to make changes to the ticket, I contacted them via numerous emails and no response, their website says a change in ticket can be made at a cost even during this pandemic and for a first time change, I reached out to them explaining i am unable to pay for the penalty, they refused to respond rather they informed their back office team to increase the price of the tickets and then they responded quoting amounts triple to what the website says, I explained to them and they refused to do anything about it. I checked back on their website a week later and they had dropped the price of change of the ticket to double rather than triple, I contacted them as they intentionally removed the option to change my ticket online, they said they had sent a payment link - well payment link that says I pay triple when your website currently says it's a double payment. I requested they send a new payment link, of course they refused. A few hours later they informed their back office team to triple the price of change of ticket again. Avoid this airline by all means.",10th November 2020
90,"✅ Trip Verified |  After cancelling two of my flights, KQ offered me options and I chose to travel KLM from Amsterdam to Nairobi to wait for my flight from NAirobi to Abidjan. Thought my original journey was all KQ flights, and I paid for 4 bags from Amsterdam to Abidjan, the second leg of my journey only had 2 bags covered in my baggage allowance. In other words, KQ basically robbed me as I had to leave 2 of my bags behind. Now I have to find a way to get my bags to my final destination, which is undoubtedly going to cost even more than paying for 2 bags did. I am extremely disappointed in the services that were provided. I am moving for KQ to refund me the money for my bags, seeing as I paid for a service I was not provided. ",1st September 2020
91,"✅ Trip Verified |  I have taken Kenya Airways a number of times and it is quite disappointing that instead of improving, the service continues to get worse. The food served remains almost inedible and inflight entertainment is virtually non-existent. Due to COVID they cancelled my ticket/s. Unfortunately, proved to be a horrendous experience as customer service is virtually non-existent. The airline doesn't respond to emails and the telephones indicated on their website does not get picked! It did not help that one is left with no option since they closed their offices. This airline needs to be more responsive to its customers (it seems to want to be known literally to go with the notion of pole-pole or slowly) if it is to get itself out of its reported financial woes due to plunging customer numbers.",11th August 2020
92,"✅ Trip Verified |  We flew from JFK to NBO just before the pandemic was declared. This was the first leg of a journey to Seychelles (SEZ). We found the cabin crew on this flight to be excellent, attentive, and really friendly. It seemed that the cabin staff were up and down the aisles very frequently and had a smile on their faces, something that must be tough during these times. We told them how pleased we were at the end of the flight and they seemed genuinely surprised to get the positive feedback. We passed this on to the airline via their website but have received no response as yet. Check in at JFK was easy, but probably atypical due to the reduced number of flyers in early March this year. The same could be said for the boarding process. The plane itself was new, a lovely 787 with mood lighting and big windows. The legroom was reasonable (not cramped but not luxurious). Overall it was comfortable for such a long journey. The food on the outbound journey was really good, way better than we expected, and our son' child's meal was also better than typical kids meals. The biggest negative on our outbound journey was the entertainment system. There were very few recent movies and the choice was extremely limited. Take your tablet or phone and download some eBooks, movies or other entertainment to it. if you are expecting to use the system on the plane to keep you occupied for 14 hours you will be disappointed. If I was rating the airline based on this flight I would actually give this flight 4 or even 5 stars as it was enjoyable but external factors are influencing that rating. Our return journey from Seychelles was delayed overnight by 14 hours and we had to fight to get accommodation. Due to this delay, and the Kenyan government ban on entry for foreigners due to COVID-19, it also meant our mini KQ Safari booked through the airline had to be cancelled. This is all very understandable and we have no issue with any of that. We cancelled this over email with the safari division while in the Seychelles and assumed there would be no issue. However, despite meeting 3 of the criteria needed for refund I am now going through a VISA charge-back process to recover this fee. First they say to talk to travel agent (when we booked the safari directly through them on a different credit card number) and then they say its valid for a year and they do not refund services .. despite having a clear statement on their website that a refund can be done if you fit 1 of the 3 criteria - 1. contact the email provided within 24 hours of the safari to cancel (we did it 6 days before), 2. Have a flight cancellation or delay (we were cancelled and put on a flight 14 hours later), and 3. Being denied entry to the country (the government were denying foreign nationals even with a visa - which we had). We want to go back to the Seychelles when all this is over but sadly I fear it will need to be with another airline, despite the stellar service of the staff on KQ003 on the day we flew.",19th May 2020
93,✅ Trip Verified |  Cape Town to Amsterdam via Nairobi in early March. Did fly before the Vivid crisis. Missed our connection flight due to delay of the plane. But found out later of that connection had been canceled. Kenya Airways promised to give us a voucher as a compensation for the delay. After several emails I have not received anything.,6th May 2020
94,"✅ Trip Verified | I purchased a ticket back in December 2019 for a flight from Kenya to Italy. Due to COVID-19, the airline appropriately cancelled my trip, however, would not give me any sort of refund for the ticket price. I reached out to them multiple times prior to the flight with no response or call back. Finally, 2 days ago (almost a month after my flight was scheduled), I received a response stating that I did not qualify for a refund since it was a non-refundable ticket, even though they cancelled the flight. They wouldn't even give me a travel voucher by this point! If you can fly anyone else, please do. I had multiple international trips planned during this time and every other airline worked with me to refund my trip or provide me with flight vouchers. Kenya Airways clearly does not care about customer service or having future customers.",1st May 2020
95,"✅ Trip Verified |  Due to the Covid 19, I had to cancel a flight to Nairobi. The cancellation was done on time early march. Well Kenya Airways refuses to refund my ticket and proposes a voucher to be used in the next twelve months. On top of that no one responded to my email for over a month. I really believe that this is not acceptable.",17th April 2020
96,"✅ Trip Verified |  Nairobi to Mauritius This was the final leg of the itinerary from Manchester to Mauritius (Manchester to Nairobi flown with Qatar Airways) - flights sold by Qatar Airways. This flight was a short 4 hour flight. Nairobi Airport itself if not the best for transit, though we spent the 7 hour layover in the Pride Business Class Lounge (having paid $40 for a day pass) which was satisfactory. Cabin Crew appeared a little unfriendly on arrival onto aircraft, though pleasant with requests and service. The aircraft itself appeared old and tired, and could benefit from modernisation. For a small flight, a light meal was provided, which in honesty was good (Asian Vegetarian). Sadly few flight announcements and no advice that the plane was descending into Mauritius and landing - it just landed! No inflight entertainment - screen did not work! Finally the timing of this flight is not good. Arrival at Mauritius at 0300 in the morning is strange and untimely. Not sure why the schedule is this way, but certainly not a time that I would be looking at again in the future. In summary, an ‘ok’ airline - convenient to ensure Qatar Airways flights for the route, but will look at alternatives to Mauritius in the future. Put it this was, if Qatar Airways either fly directly to Mauritius, or have a transit in Seychelles or Johannesburg, then this would be the preferred option. Nairobi is ok, but I think the experience with Kenya Airways is not something I would revisit as experienced.",1st April 2020
97,"✅ Trip Verified |  Travelled Kigali via Nairobi to Johannesburg and back within 2 days mid-March 2020. Aircraft  were E190 on short leg and Boeing 787-8 on long legs. All flights on time. No luggage issues. Checked in online. Had to wait 1 hour in airport as they only open check in 2 hours before departure. Upgraded 1st leg KGL-NBO by a modest, but successful online bid. Granted lounge access by courtesy in Nairobi as my Gold Card was just earned during the same trip (but of course not processed in their system). In Kigali they use Pearl lounge which is deteriorating since Rwandair opened a new lounge opposite. Kenya Airways Pride Lounge in Nairobi is wonderful. Food served onboard was substandard and particular breakfasts were a disgrace. However, drink supplies were fine. I like the “Happy Hours” approach they use on regional routes like to Dubai and JNB where you order a drink or wine and they often double up the order without asking. I have only received this double up service before on Gulf Air and the now deceased Jet Airways. That is generous, positive approach and make one feel very appreciated and cared for in economy class where benefits otherwise are sparse. FAs are very good though advised an FA to avoid chewing gum as it is cause feeling of disrespect to some passengers. Champagne on business class is good and offered also before departure. No IFE on short legs but on long legs plenty of films to watch. No WiFi onboard. I was given 3 seats on all flights were not full thanks to corona virus fear and close downs.",17th March 2020
98,"✅ Trip Verified |  Nairobi to Dar-Es-Salam. It was a connection flight, I booked the tickets from different companies separately. This flight was the last resort to avoid losing my next flight and it got delayed more than an hour, so I lost the next flight. In the counter they said it was just not in the contract whatever could happen because of a delay of less than 3 hours.",17th March 2020
99,"✅ Trip Verified | Nairobi to London Heathrow. Awful, simply awful. Substantial delays on both the outbound and return legs. Really poor customer service in response. Customer service was poor in general, on board and at the airport when requesting an update to the flight. I would not recommend Kenya Airways to anybody, not even my worst enemy!",15th February 2020
